nbin_dir	run_name	data_path	N_steps	f_FNA	f_SNA	f_VSNA	f_LLP	T_FNA	T_SNA	T_VSNA	logL	nll	BIC	success	opt_time_sec
dwell_time_all_fixed_window	run_Family_C_4_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_C_4_noise_0.5\dwell_times_all.txt	20	0.385225	0.496525	0.11825	3.19014e-07	2.36255	3.69094	7.03729	-911026.068148	911026.068148	1822142.386719	True	140.4869
dwell_time_all_fixed_window	run_Family_B_5_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_B_5_noise_0.5\dwell_times_all.txt	20	0.397373	0.467809	0.134818	2.97752e-07	2.38153	3.77811	7.50546	-898340.855790	898340.855790	1796771.778890	True	143.9981
dwell_time_all_fixed_window	run_High_Pause_4	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_High_Pause_4\dwell_times_all.txt	20	0.0317694	5.08337e-07	0.96823	5.08337e-07	2.30663	6.85329	9.23355	-581626.471243	581626.471243	1163337.553786	True	36.0873
dwell_time_all_fixed_window	run_Balanced_5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Balanced_5\dwell_times_all.txt	20	0.158462	0.765611	0.0759268	1.03307e-07	2.0591	2.79201	6.48995	-941115.668391	941115.668391	1882322.079733	True	144.5569
dwell_time_all_fixed_window	run_Balanced_2_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Balanced_2_noise_0.5\dwell_times_all.txt	20	0.472929	0.487821	0.03925	5.26122e-07	2.36553	3.04022	6.42649	-972733.131998	972733.131998	1945557.941650	True	145.0976
dwell_time_all_fixed_window	run_High_Pause_3_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_High_Pause_3_noise_0.5\dwell_times_all.txt	20	0.0252542	7.58593e-07	0.969993	0.00475174	2.11104	5.17548	12.0374	-505133.787294	505133.787294	1010350.672066	True	38.7922
dwell_time_all_fixed_window	run_Family_H_3_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_H_3_noise_0.5\dwell_times_all.txt	20	0.345065	0.428781	0.220383	0.00577124	2.36609	7.05361	39.1202	-452899.786027	452899.786027	905882.452130	True	46.0881
dwell_time_all_fixed_window	run_Family_H_5_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_H_5_noise_0.5\dwell_times_all.txt	20	0.346423	0.422561	0.222729	0.00828732	2.36589	7.10609	41.7393	-432634.293622	432634.293622	865351.078164	True	47.4451
dwell_time_all_fixed_window	run_Family_E_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_E_noise_0.5\dwell_times_all.txt	20	0.505592	0.494407	3.31434e-07	3.31434e-07	2.39132	2.35372	9.99583	-994170.143334	994170.143334	1988432.969398	True	95.2589
dwell_time_all_fixed_window	run_Family_G_noise_0.5	d:\Vivian\DTMC_simulations\dwell_time_all_fixed_window\run_Family_G_noise_0.5\dwell_times_all.txt	20	0.531638	0.467795	0.000566432	4.3616e-07	2.42538	4.28518	9.92451	-938216.157188	938216.157188	1876523.441232	True	62.0799
